step,t_s,thruster
2,0.5,POD0_RNEG
2,0.5,POD1_RNEG
2,0.5,POD2_RNEG
2,0.5,POD3_RNEG
3,0.75,POD0_RNEG
3,0.75,POD1_RNEG
3,0.75,POD2_RNEG
3,0.75,POD3_RNEG
4,1.0,POD0_RNEG
4,1.0,POD1_RNEG
4,1.0,POD2_RNEG
4,1.0,POD3_RNEG
5,1.25,POD0_RNEG
5,1.25,POD1_RNEG
5,1.25,POD2_RNEG
5,1.25,POD3_RNEG
6,1.5,POD0_RNEG
6,1.5,POD1_RNEG
6,1.5,POD2_RNEG
6,1.5,POD3_RNEG
7,1.75,POD0_RNEG
7,1.75,POD1_RNEG
7,1.75,POD2_RNEG
7,1.75,POD3_RNEG
8,2.0,POD0_RNEG
8,2.0,POD1_RNEG
8,2.0,POD2_RNEG
8,2.0,POD3_RNEG
9,2.25,POD0_RNEG
9,2.25,POD1_RNEG
9,2.25,POD2_RNEG
9,2.25,POD3_RNEG
10,2.5,POD0_RNEG
10,2.5,POD1_RNEG
10,2.5,POD2_RNEG
10,2.5,POD3_RNEG
11,2.75,POD0_RNEG
11,2.75,POD1_RNEG
11,2.75,POD2_RNEG
11,2.75,POD3_RNEG
12,3.0,POD0_RNEG
12,3.0,POD1_RNEG
12,3.0,POD2_RNEG
12,3.0,POD3_RNEG
13,3.25,POD0_RNEG
13,3.25,POD1_RNEG
13,3.25,POD2_RNEG
13,3.25,POD3_RNEG
16,4.0,POD0_RPOS
16,4.0,POD1_RPOS
16,4.0,POD2_RPOS
16,4.0,POD3_RPOS
17,4.25,POD0_RPOS
17,4.25,POD1_RPOS
17,4.25,POD2_RPOS
17,4.25,POD3_RPOS
18,4.5,POD0_RPOS
18,4.5,POD1_RPOS
18,4.5,POD2_RPOS
18,4.5,POD3_RPOS
19,4.75,POD0_RPOS
19,4.75,POD1_RPOS
19,4.75,POD2_RPOS
19,4.75,POD3_RPOS
20,5.0,POD0_RPOS
20,5.0,POD1_RPOS
20,5.0,POD2_RPOS
20,5.0,POD3_RPOS
21,5.25,POD0_RPOS
21,5.25,POD1_RPOS
21,5.25,POD2_RPOS
21,5.25,POD3_RPOS
22,5.5,POD0_RPOS
22,5.5,POD1_RPOS
22,5.5,POD2_RPOS
22,5.5,POD3_RPOS
23,5.75,POD0_RPOS
23,5.75,POD1_RPOS
23,5.75,POD2_RPOS
23,5.75,POD3_RPOS
24,6.0,POD0_RPOS
24,6.0,POD1_RPOS
24,6.0,POD2_RPOS
24,6.0,POD3_RPOS
25,6.25,POD0_RPOS
25,6.25,POD1_RPOS
25,6.25,POD2_RPOS
25,6.25,POD3_RPOS
26,6.5,POD0_RPOS
26,6.5,POD1_RPOS
26,6.5,POD2_RPOS
26,6.5,POD3_RPOS
27,6.75,POD0_RPOS
27,6.75,POD1_RPOS
27,6.75,POD2_RPOS
27,6.75,POD3_RPOS
28,7.0,POD0_RPOS
28,7.0,POD1_RPOS
28,7.0,POD2_RPOS
28,7.0,POD3_RPOS
29,7.25,POD0_RPOS
29,7.25,POD1_RPOS
29,7.25,POD2_RPOS
29,7.25,POD3_RPOS
30,7.5,POD0_RPOS
30,7.5,POD1_RPOS
30,7.5,POD2_RPOS
30,7.5,POD3_RPOS
31,7.75,POD0_RPOS
31,7.75,POD1_RPOS
31,7.75,POD2_RPOS
31,7.75,POD3_RPOS
32,8.0,POD0_RPOS
32,8.0,POD1_RPOS
32,8.0,POD2_RPOS
32,8.0,POD3_RPOS
35,8.75,POD0_RNEG
35,8.75,POD1_RNEG
35,8.75,POD2_RNEG
35,8.75,POD3_RNEG
36,9.0,POD0_RNEG
36,9.0,POD1_RNEG
36,9.0,POD2_RNEG
36,9.0,POD3_RNEG
37,9.25,POD0_RNEG
37,9.25,POD1_RNEG
37,9.25,POD2_RNEG
37,9.25,POD3_RNEG
38,9.5,POD0_RNEG
38,9.5,POD1_RNEG
38,9.5,POD2_RNEG
38,9.5,POD3_RNEG
39,9.75,POD0_RNEG
39,9.75,POD1_RNEG
39,9.75,POD2_RNEG
39,9.75,POD3_RNEG
40,10.0,POD0_RNEG
40,10.0,POD1_RNEG
40,10.0,POD2_RNEG
40,10.0,POD3_RNEG
41,10.25,POD0_RNEG
41,10.25,POD1_RNEG
41,10.25,POD2_RNEG
41,10.25,POD3_RNEG
42,10.5,POD0_RNEG
42,10.5,POD1_RNEG
